index,question,answers
133,what films has kristen stewart starred in?,"['Panic Room', 'Catch That Kid', 'In the Land of Women', 'Fierce People', 'Into the Wild', 'The Messengers', 'Cold Creek Manor', 'Zathura', 'The Safety of Objects', 'Speak']"
134,what movies have robert pattinson starred in?,"['Eclipse', 'Twilight', 'New Moon', 'The Twilight Saga: Breaking Dawn - Part 1']"
135,what movies have adam sandler been in?,"['Big Daddy', 'Dickie Roberts: Former Child Star', 'Joe Dirt 2', 'Bedtime Stories', 'Click', 'The Benchwarmers', 'Eight Crazy Nights', 'The House Bunny', ""You Don't Mess with the Zohan"", 'I Now Pronounce You Chuck and Larry']"
136,who plays paul blart?,['Kevin James']
137,who plays spike in buffy the vampire slayer?,['James Marsters']
138,who voice acts peter griffin?,['Seth MacFarlane']
139,who plays lynette on desperate housewives?,['Felicity Huffman']
140,who played boss hogg dukes of hazzard?,['Sorell Booke']
141,who played kitt in knight rider?,['William Daniels']
142,who played daniel larusso?,"['Ralph Macchio, Sr.']"
143,what movies did jj abrams direct?,"['Star Wars Episode VII', 'Anatomy of Hope', 'Star Trek', 'Star Trek into Darkness', 'Mission: Impossible III', 'Super 8']"
144,what characters does seth macfarlane voice?,"['Peter Griffin', 'Mickey McFinnegan', 'Stewie Griffin', 'Jake Tucker', 'Glenn Quagmire', 'Carter Pewterschmidt', 'Stan Smith', 'Tom Tucker', 'Kevin Swanson', 'Brian Griffin']"
145,who plays lorne on angel?,['Andy Hallett']
146,where do the orioles play spring training?,['Baltimore']
147,what movies are directed by steven spielberg?,"['Duel', 'Close Encounters of the Third Kind', 'Always', 'Catch Me If You Can', '1941', 'Amistad', 'A.I. Artificial Intelligence', 'E.T. the Extra-Terrestrial', 'Amblin', 'Empire of the Sun']"
148,what movies does matt damon play in?,"['American Teacher', 'Contagion', 'Che: Part Two', 'All the Pretty Horses', 'Courage Under Fire', 'Dogma', 'Behind the Screens', 'Confessions of a Dangerous Mind', 'Elysium', 'Chasing Amy']"
149,what movies does alyson stoner play in?,"['Cheaper by the Dozen', 'Garfield: The Movie', 'Step Up 3D', 'Alyson Stoner Project', 'Holly Hobbie and Friends: Christmas Wishes', 'Step Up', 'Cheaper by the Dozen 2', 'Alice Upside Down', 'Yin Yang Yo! The Movie', 'Camp Rock']"
150,who the voice of jack skellington?,"['Danny Elfman', 'Chris Sarandon']"
151,what teams did gretzky play on?,['Edmonton Oilers']
152,who played sean in scrubs?,['Michael Jackson: 30th Anniversary Special']
153,who played andy in toy story 3?,['Andy Warhol']
154,what movies did miley cyrus play in?,"['Hannah Montana: The Movie', 'Super Rhino', 'Sonic the Hedgehog', 'LOL: Laughing Out Loud', 'Big Fish', 'Sex and the City 2', 'Bolt', 'The Last Song', 'So Undercover', 'High School Musical 2']"
155,what movies did adam sandler play in?,"['Big Daddy', 'Dickie Roberts: Former Child Star', 'Joe Dirt 2', 'Bedtime Stories', 'Click', 'The Benchwarmers', 'Eight Crazy Nights', 'The House Bunny', ""You Don't Mess with the Zohan"", 'I Now Pronounce You Chuck and Larry']"
156,who was the voice of darth vader in episode iii?,['Hayden Christensen']
157,what movie does natalie portman play in?,"['Closer', 'Beautiful Girls', 'Star Wars Episode III: Revenge of the Sith', 'Cold Mountain', 'The Other Boleyn Girl', 'V for Vendetta', 'Star Wars Episode II: Attack of the Clones', 'Anywhere but Here', 'Garden State', 'Star Wars Episode I: The Phantom Menace']"
158,what movies does zac efron star in?,"['17 Again', 'Charlie St. Cloud', 'Miracle Run', 'Me and Orson Welles', ""Melinda's World"", 'High School Musical', 'The Derby Stallion', 'High School Musical 2', 'High School Musical 3: Senior Year', 'Hairspray']"
159,who plays stella in coronation street?,['Lager']
160,what movies did chris farley do?,"['Coneheads', ""Wayne's World"", 'Black Sheep', 'Beverly Hills Ninja', ""Wayne's World 2"", 'Billy Madison', 'Dirty Work', 'Almost Heroes', 'Airheads', 'Tommy Boy']"
161,who plays nana in the royal family?,['Anna Tsuchiya']
162,who plays steffy on bold and the beautiful?,['Jacqueline MacInnes Wood']
163,who played carlton banks?,['Alfonso Ribeiro']
164,who plays jay adams in lords of dogtown?,['Him/Herself']
165,who plays effy in skins uk?,['Kaya Scodelario']
166,where does the atlanta braves play?,['Turner Field']
167,who played danielle rousseau on lost?,"['Mira Furlan', 'Melissa Farman']"
168,what part does seth macfarlane play in family guy?,"['Peter Griffin', 'Mickey McFinnegan', 'Stewie Griffin', 'Jake Tucker', 'Glenn Quagmire', 'Carter Pewterschmidt', 'Stan Smith', 'Tom Tucker', 'Kevin Swanson', 'Brian Griffin']"
169,who did george wendt play on cheers?,['Norm Peterson']
170,who played cruella deville in 102 dalmatians?,['Glenn Close']
171,what division did the baltimore colts play in?,['AFC South']
172,what movie did tom hanks won his first oscar?,['Big']
173,who played bilbo baggins?,"['Norman Bird', 'Martin Freeman', 'Ian Holm']"
174,what did corey haim act in?,"['Fast Getaway', 'Fast Getaway II', 'Dream a Little Dream 2', 'Demolition High', 'Dream a Little Dream', 'Blown Away', 'Busted', 'Demolition University', 'Fever Lake', 'Firstborn']"
175,who played bernie focker?,['Dustin Hoffman']
176,who was the voice of nemo's dad?,['Albert Brooks']
177,who played michael myers in halloween 4?,['George P. Wilbur']
178,what movies did james franco play in?,"['Tristan & Isolde', 'Pineapple Express', 'The Great Raid', 'Annapolis', 'Whatever It Takes', 'The Company', 'An American Crime', 'Spider-Man', 'Spider-Man 2', 'Spider-Man 3']"
179,what movies has scarlett johansson played in?,"['Girl with a Pearl Earring', 'Fall', 'A Good Woman', 'A Love Song for Bobby Long', ""Don Jon's Addiction"", 'Eight Legged Freaks', 'Ghost World', 'Captain America: The Winter Soldier', 'An American Rhapsody']"
180,where does luke skywalker live in star wars?,['Tatooine']
181,who played princess leia's mother in star wars?,['Padmé Amidala']
182,who does larry david play in seinfeld?,['Screenwriter']
183,what did shawnee smith star in?,"['The Grudge 3', 'Saw IV', 'Summer School', 'Saw II', 'Saw III', 'The Island', 'Saw', 'The Blob', ""Who's Harry Crumb?""]"
184,who played carl fredricksen in up?,['Ed Asner']
185,where did robert pattinson go to acting school?,['The Harrodian School']
186,what movies did quentin tarantino star in?,"['Grindhouse', 'The Cutting Edge: The Magic of Movie Editing', 'Sukiyaki Western Django', 'Full Tilt Boogie', 'Z Channel: A Magnificent Obsession', 'BaadAsssss Cinema', 'Desperado', 'Four Rooms', 'From Dusk till Dawn', 'Dead On: The Life and Cinema of George A. Romero']"
187,who did alf's voice?,['Paul Fusco']
188,who plays batman in 2012?,['Christian Bale']
189,what movies has renee zellweger been in?,"[""Bridget Jones's Diary""]"
190,who plays stewie griffin's voice family guy?,['Seth MacFarlane']
191,what did regina hall play in?,"['Scary Movie', 'First Sunday', 'Danika', 'Paid in Full', 'Disappearing Acts', ""Malibu's Most Wanted"", 'Scary Movie 4', ""King's Ransom"", 'Scary Movie 3', 'Scary Movie 2']"
192,who plays jacob black in twilight?,['Taylor Lautner']
193,who plays noah bennet?,['Jack Coleman']
194,where do the chicago cubs play?,['Wrigley Field']
195,who plays young john winchester in supernatural?,['Jeffrey Dean Morgan']
196,who played elle greenaway?,['Lola Glaudini']
197,who does avril lavigne play in over the hedge?,['Heather']
198,what instrument did louis armstrong like to play?,"['trumpet', 'Cornet']"
199,who played heath barkley?,['Lee Majors']
200,who will play clary in city of bones?,['Lonnie Clary']
201,who did stephenie meyer play in twilight?,['The Twilight Saga: Breaking Dawn - Part 1']
202,who played giles on buffy the vampire slayer?,['Anthony Stewart Head']
203,who played betty rizzo in grease?,['Stockard Channing']
204,who played wesley crusher on star trek the next generation?,['Wil Wheaton']
205,what years did the orioles play in the world series?,"['1983 World Series', '1966 World Series', '1970 World Series']"
206,who did julie andrews play in shrek?,['Queen Lillian']
207,what characters does seth macfarlane play in family guy?,"['Peter Griffin', 'Mickey McFinnegan', 'Stewie Griffin', 'Jake Tucker', 'Glenn Quagmire', 'Carter Pewterschmidt', 'Stan Smith', 'Tom Tucker', 'Kevin Swanson', 'Brian Griffin']"
208,what instruments does katy perry play?,['Vocals']
209,who played mickey on days of our lives?,['Wayne Allwine']
210,what movies does nicole kidman star in?,"['Billy Bathgate', 'Bewitched', 'Birthday Girl', 'Cold Mountain', 'Days of Thunder', 'Dead Calm', 'Birth', 'BMX Bandits', 'Batman Forever', 'Dogville']"
211,who played obi wan kenobi in phantom menace?,['Ewan McGregor']
212,what movies has scarlett johansson in?,"['Girl with a Pearl Earring', 'Fall', 'A Good Woman', 'A Love Song for Bobby Long', ""Don Jon's Addiction"", 'Eight Legged Freaks', 'Ghost World', 'Captain America: The Winter Soldier', 'An American Rhapsody']"
213,what movies does ryan gosling star in?,"['The United States of Leland', 'Half Nelson', 'The Slaughter Rule', 'Stay', 'Lars and the Real Girl', 'The Believer', 'Fracture', 'Murder by Numbers', 'The Notebook', 'All Good Things']"
214,who does paul wesley play in 24?,['Stephen']
215,who stars in the movie fred claus?,"['Vince Vaughn', 'Kathy Bates', 'John Michael Higgins', 'Kevin Spacey', 'Ludacris', 'Elizabeth Banks', 'Rachel Weisz', 'Miranda Richardson', 'Jeffrey Dean Morgan', 'Paul Giamatti']"
216,who played young sam winchester?,['Colin Ford']
217,who played darth vader in the original star wars movies?,['David Prowse']
218,what films did liam neeson star in?,"['Excalibur', 'Kingdom of Heaven', 'Batman Begins', 'Gangs of New York', 'Nailed', 'K-19: The Widowmaker', ""Pilgrim's Progress"", 'Husbands and Wives', 'Darkman']"
219,who is playing bilbo in the hobbit movie?,"['Norman Bird', 'Martin Freeman', 'Ian Holm']"
220,who is the actor that plays rico in hannah montana?,['Moisés Arias']
221,who does jodelle ferland play in eclipse?,['Bree Tanner']
222,what films have taylor lautner starred in?,"['New Moon', ""He's a Bully, Charlie Brown"", 'Eclipse', 'Cheaper by the Dozen 2', 'Incarceron', 'The Adventures of Sharkboy and Lavagirl', 'Dear Eleanor', 'Abduction', 'Shadow Fury', 'Field of Dreams 2: Lockout']"
223,who played elaine on doc martin?,['Lucy Punch']
224,which jane austen books are movies?,['Pride and Prejudice']
225,who plays dante falconeri?,['Dominic Zamprogna']
226,who the voice of peter griffin?,['Seth MacFarlane']
227,what movies has halle berry starred in?,"['Jungle Fever', 'Catwoman', 'Gothika', 'Executive Decision', 'Robots', 'Introducing Dorothy Dandridge', 'B*A*P*S', 'Bulworth', 'Race the Sun', ""Monster's Ball""]"
228,who plays jacob black in the twilight movies?,['Taylor Lautner']
229,who does zach galifianakis play in the hangover?,['Alan Garner']
230,who plays lois in family guy?,['Alex Borstein']
231,who did michael jackson play in the wiz?,['Scarecrow']
232,who played nba last night?,"['Phoenix Suns', 'Golden State Warriors', 'Los Angeles Lakers', 'Cleveland Cavaliers', 'Houston Rockets', 'Charlotte Bobcats', 'Detroit Pistons', 'Indiana Pacers', 'Utah Jazz', 'Orlando Magic']"
233,who played hannah montana best friend?,['Emily Osment']
234,what is the actual current local time now in uk?,"['Greenwich Mean Time', 'UTC±00:00']"
235,what instrument does ringo starr play?,['Drums']
236,who played bob ewell in to kill a mockingbird?,['James Anderson']
237,who plays walter in fringe?,['John Noble']
238,who plays moira on the l word?,['Rose Byrne']
239,who is the voice of family guys meg griffin?,['Mila Kunis']
240,who does jemaine clement play in despicable me?,['Jerry the Minion']
241,where do the broncos play?,['Sports Authority Field at Mile High']
242,who played nba finals 2010?,['Los Angeles Lakers']
243,what has lucy hale played in?,"['A Cinderella Story: Once Upon A Song', '10 Years', 'Sorority Wars', 'The Sisterhood of the Traveling Pants 2', 'Scream 4', 'Fear Island', 'Tinker Bell: Secret of the Wings', 'Killer in the Family']"
244,who plays alan parrish in jumanji?,['Robin Williams']
245,who plays miley cyrus brother?,['Guitarist']
246,who played as barney?,['David Joyner']
247,who played elaine's boyfriend on seinfeld?,['Jerry Seinfeld']
248,where did the arizona diamondbacks play?,['Chase Field']
249,who plays claudia joy on army wives?,['Kim Delaney']
250,what movies has taylor momsen been in?,"['Underdog', 'Paranoid Park', 'Spy Kids 2: Island of Lost Dreams', 'How the Grinch Stole Christmas!', 'We Were Soldiers', 'Hansel and Gretel', 'Spy School', 'Saving Shiloh', '10 Years']"
251,what movies has chris colfer been in?,"['8', 'Russel Fish: The Sausage and Eggs Incident', 'Glee Encore', 'Struck by Lightning', 'Glee: The 3D Concert Movie']"
252,what movies does tupac act in?,"['Murder Was the Case', 'Above the Rim', 'Bullet', 'Gang Related', 'Watch Juice', 'Tupac: Live at the House of Blues', 'Nothing but Trouble', 'Juice', 'Poetic Justice', ""Gridlock'd""]"
253,who plays karen jackson on shameless?,['Rebecca Atkinson']
254,what movies did matt bomer play in?,"['Magic Mike', 'Flightplan', ""Winter's Tale"", 'In Time', '8', 'The Normal Heart', 'The Texas Chainsaw Massacre: The Beginning']"
255,who played lex luthor in the original superman?,['Gene Hackman']
256,what does kat dennings star in?,"['The Scream Team', 'The Answer Man', 'Raise Your Voice', 'Charlie Bartlett', 'Shorts', 'The 40-Year-Old Virgin', 'Down in the Valley', ""Nick and Norah's Infinite Playlist"", 'The House Bunny', ""Big Momma's House 2""]"
257,who plays the voice of lois griffin on family guy?,['Alex Borstein']
258,who has played edward quartermaine on general hospital?,['David Lewis']
259,who plays stacey in zoey 101?,['Lacey Turner']
260,what role did tom cruise play in endless love?,['Billy']
261,where does fabio aurelio play?,"['Grêmio Foot-Ball Porto Alegrense', 'Liverpool F.C.']"
262,who plays young joe dirt?,['David Spade']
263,who does the voice of kitt in knight rider?,['William Daniels']
264,what movies johnny depp is in?,"['Benny & Joon', 'Blow', 'A Nightmare on Elm Street', 'Arizona Dream', 'Chocolat', 'Dead Man', 'Charlie and the Chocolate Factory', 'Cry-Baby', 'Public Enemies', 'Corpse Bride']"
265,how much indiana jones movies are there?,"['Indiana Jones and the Raiders of the Lost Ark', 'Disaster Movie', 'Indiana Jones and the Last Crusade', 'Indiana Jones and the Temple of Doom', 'Indiana Jones and the Kingdom of the Crystal Skull']"
266,what movies did zoe saldana play in?,"['The Losers', 'Colombiana', 'Star Trek', 'Avatar', 'Drumline', 'Death at a Funeral']"
267,who does nikki reed play in the movie twilight?,['Rosalie Hale']
268,what character did liv tyler play in lord of the rings?,['Arwen']
269,who played princess leia in star wars movies?,['Carrie Fisher']
270,who played laura ingalls mother?,['Caroline Ingalls']
271,what movies does johnny depp play in?,"['Benny & Joon', 'Blow', 'A Nightmare on Elm Street', 'Arizona Dream', 'Chocolat', 'Dead Man', 'Charlie and the Chocolate Factory', 'Cry-Baby', 'Public Enemies', 'Corpse Bride']"
272,who did the voice of kitt in knight rider?,['William Daniels']
273,who played atticus finch in the movie?,['Gregory Peck']
274,who has the voice of stewie griffin?,['Seth MacFarlane']
275,who is the voice actor for eric cartman?,['Trey Parker']
276,what movie queen latifah play in?,"['Taxi', 'Jungle Fever', 'Set It Off', 'Stranger than Fiction', 'Last Holiday', 'Brown Sugar', 'Ice Age: The Meltdown', 'Ice Age: Dawn of the Dinosaurs', 'Hairspray', 'Bringing Down the House']"
277,who plays hermione granger?,['Emma Watson']
278,who plays jason gideon?,['Mandy Patinkin']
279,who played george jefferson on all in the family?,['Sherman Hemsley']
280,what did kellie martin play on?,"['A Friend to Die For', 'All You Need', 'Matinee', 'On the Edge of Innocence', 'A Goofy Movie', 'Mystery Woman: Mystery Weekend', 'Mystery Woman: Snapshot', 'After the Silence', 'Thru the Moebius Strip', 'Live Once, Die Twice']"
281,who played lt uhura?,['Nichelle Nichols']
282,who plays harold saxon in doctor who?,['Roger Delgado']
283,who did bryce dallas howard play in eclipse?,['Victoria']
